ID,Location,Country,Continent
1,Iowa,United States,North America
2,Virginia,United States,North America
3,Illinois,United States,North America
4,Texas,United States,North America
5,California,United States,North America
6,Ireland,Ireland,Europe
7,Netherlands,Netherlands,Europe
8,Hong Kong,China,Asia
9,Singapore,Singapore,Asia
10,"Tokyo, Saitama",Japan,Asia
11,Osaka,Japan,Asia
12,Sao Paulo State,Brazil,South America
13,New South Wales,Australia,Australia
14,Victoria,Australia,Australia